USN,CO1,CO2,CO3,CO4,CO5,CO6
1DS23AI001,5,5,5,5,5,5
1DS23AI002,5,5,5,5,5,5
1DS23AI004,5,5,4,4,4,4
1DS23AI005,5,5,5,5,5,5
1DS23AI008,5,5,5,5,5,5
1DS23AI010,5,5,3,3,3,3
1DS23AI011,5,5,5,5,5,5
1DS23AI013,5,5,5,5,5,5
1DS23AI014,5,5,5,4,3,5
1DS23AI015,5,5,5,5,5,5
1DS23AI016,5,5,5,5,4,5
1DS23AI017,5,5,5,5,5,5
1DS23AI018,5,5,3,3,3,3
1DS23AI019,5,5,5,4,4,4
1DS23AI020,5,5,4,5,5,5
1DS23AI022,5,5,5,5,5,5
1DS23AI023,5,5,5,5,5,5
1DS23AI024,5,5,5,5,5,5
1DS23AI025,5,5,5,5,5,5
1DS23AI026,5,5,4,4,3,4
1DS23AI027,5,5,5,5,5,5
1DS23AI029,5,5,5,5,5,5
1DS23AI031,5,5,5,5,5,5
1DS23AI033,5,5,5,5,5,5
1DS23AI034,5,5,5,5,5,5
1DS23AI035,5,5,5,5,4,4
1DS23AI036,5,5,5,5,5,5
1DS23AI038,5,5,3,3,3,4
1DS23AI039,5,5,5,5,5,5
1DS23AI041,5,5,5,5,5,5
1DS23AI042,5,5,5,5,5,5
1DS23AI043,5,5,3,3,4,4
1DS23AI044,5,5,5,5,5,5
1DS23AI045,5,5,5,5,5,5
1DS23AI046,5,5,5,5,5,5
1DS23AI047,5,5,4,4,4,5
1DS23AI050,5,5,5,5,5,5
1DS23AI051,5,5,5,5,4,4
1DS23AI052,5,5,5,5,5,5
1DS23AI053,5,5,5,5,5,5
1DS23AI054,5,5,5,5,5,5
1DS23AI055,5,5,3,3,3,3
1DS23AI056,5,5,5,5,5,5
1DS23AI057,5,5,5,5,5,5
1DS23AI059,5,5,4,4,4,4
1DS23AI060,5,5,5,5,5,5
1DS23AI061,5,5,5,5,5,5
1DS23AI062,5,5,3,3,3,3
1DS23AI063,5,5,5,5,5,5
1DS24AI401,5,5,5,5,5,5
1DS24AI402,5,5,1,1,2,1
1DS24AI404,5,5,5,5,5,5
1DS24AI406,5,5,4,4,3,3
