USN,Theory_Test,Theory_AAT,Lab_ClassWork,Lab_Test,CIA_Total
1DS23AI001,17.0,17.0,28.0,10.0,35.0
1DS23AI002,20.0,16.0,30.0,20.0,42.0
1DS23AI003,17.0,16.0,25.0,10.0,34.0
1DS23AI004,17.0,18.0,28.0,15.0,38.0
1DS23AI005,22.0,17.0,27.0,19.0,41.0
1DS23AI006,10.0,15.0,25.0,8.0,28.0
1DS23AI007,11.0,18.0,25.0,8.0,30.0
1DS23AI008,10.0,17.0,25.0,8.0,29.0
1DS23AI010,7.0,10.0,25.0,8.0,23.0
1DS23AI011,19.0,17.0,26.0,16.0,39.0
1DS23AI012,21.0,18.0,25.0,10.0,37.0
1DS23AI013,21.0,19.0,28.0,18.0,42.0
1DS23AI014,25.0,17.0,27.0,19.0,43.0
1DS23AI015,27.0,18.0,28.0,19.0,46.0
1DS23AI016,26.0,17.0,28.0,19.0,45.0
1DS23AI017,25.0,17.0,29.0,20.0,45.0
1DS23AI018,13.0,16.0,26.0,16.0,34.0
1DS23AI019,21.0,18.0,30.0,20.0,43.0
1DS23AI020,16.0,18.0,28.0,19.0,39.0
1DS23AI021,11.0,16.0,25.0,16.0,32.0
1DS23AI022,13.0,18.0,25.0,9.0,33.0
1DS23AI023,25.0,18.0,30.0,20.0,46.0
1DS23AI024,19.0,16.0,27.0,18.0,39.0
1DS23AI025,18.0,16.0,29.0,19.0,39.0
1DS23AI026,15.0,16.0,29.0,16.0,37.0
1DS23AI027,18.0,18.0,26.0,17.0,39.0
1DS23AI028,18.0,16.0,26.0,8.0,34.0
1DS23AI029,24.0,19.0,30.0,20.0,46.0
1DS23AI030,5.0,17.0,25.0,8.0,26.0
1DS23AI031,19.0,17.0,30.0,20.0,42.0
1DS23AI032,12.0,17.0,25.0,12.0,32.0
1DS23AI033,21.0,19.0,28.0,19.0,43.0
1DS23AI034,20.0,18.0,28.0,19.0,42.0
1DS23AI035,27.0,20.0,30.0,20.0,48.0
1DS23AI036,24.0,19.0,28.0,20.0,45.0
1DS23AI037,24.0,18.0,28.0,19.0,44.0
1DS23AI038,24.0,18.0,30.0,20.0,45.0
1DS23AI039,19.0,18.0,27.0,16.0,39.0
1DS23AI040,11.0,17.0,25.0,12.0,32.0
1DS23AI041,24.0,18.0,30.0,20.0,45.0
1DS23AI042,18.0,17.0,28.0,19.0,40.0
1DS23AI043,15.0,17.0,28.0,12.0,35.0
1DS23AI044,13.0,17.0,25.0,14.0,34.0
1DS23AI045,25.0,20.0,30.0,20.0,47.0
1DS23AI046,17.0,17.0,28.0,16.0,38.0
1DS23AI047,25.0,16.0,27.0,20.0,44.0
1DS23AI048,22.0,16.0,30.0,19.0,43.0
1DS23AI049,11.0,18.0,27.0,12.0,33.0
1DS23AI050,29.0,19.0,30.0,20.0,49.0
1DS23AI051,20.0,16.0,27.0,15.0,39.0
1DS23AI052,15.0,19.0,25.0,10.0,34.0
1DS23AI053,17.0,18.0,28.0,10.0,36.0
1DS23AI054,15.0,18.0,25.0,9.0,34.0
1DS23AI055,24.0,19.0,30.0,20.0,46.0
1DS23AI056,17.0,17.0,30.0,20.0,40.0
1DS23AI057,25.0,19.0,30.0,20.0,46.0
1DS23AI058,10.0,17.0,25.0,8.0,29.0
1DS23AI059,23.0,17.0,26.0,18.0,42.0
1DS23AI060,21.0,18.0,30.0,20.0,43.0
1DS23AI061,22.0,16.0,29.0,16.0,41.0
1DS23AI062,19.0,16.0,27.0,10.0,36.0
1DS23AI063,14.0,13.0,26.0,10.0,30.0
1DS24AI401,12.0,17.0,28.0,19.0,36.0
1DS24AI402,23.0,17.0,30.0,20.0,44.0
1DS24AI403,14.0,16.0,26.0,19.0,36.0
1DS24AI404,14.0,17.0,28.0,10.0,34.0
1DS24AI405,10.0,16.0,25.0,10.0,30.0
1DS24AI406,19.0,14.0,28.0,15.0,37.0
